Date,Open,High,Low,End,Amount
2024110700:12:50,13645,13645,13640,13640,141392240
2024110700:12:51,13640,13645,13640,13640,9889000
2024110700:12:52,13645,13645,13640,13640,41520160
2024110700:12:53,13640,13645,13640,13640,7256480
2024110700:12:54,13640,13645,13640,13645,24697450
2024110700:12:55,13645,13645,13640,13645,7545685
2024110700:12:56,13645,13650,13645,13645,59915195
2024110700:12:57,13645,13650,13645,13650,4381650
2024110700:12:58,13645,13650,13645,13645,20085440
2024110700:12:59,13650,13650,13645,13650,11056500
2024110700:13:00,13650,13655,13650,13650,25566450
2024110700:13:01,13650,13655,13645,13645,5935575
2024110700:13:02,13645,13650,13645,13650,46819500
2024110700:13:03,13650,13655,13650,13655,7114255
2024110700:13:04,13650,13655,13650,13650,16789500
2024110700:13:05,13650,13655,13650,13650,84206850
2024110700:13:06,13650,13650,13650,13650,1201200
2024110700:13:07,13650,13655,13650,13655,4670010
2024110700:13:08,13650,13650,13645,13650,13977600
2024110700:13:09,13645,13650,13645,13645,44755600
2024110700:13:10,13645,13650,13645,13645,4038920
2024110700:13:11,13645,13650,13645,13650,12244050
2024110700:13:12,13650,13650,13645,13650,49044450
2024110700:13:13,13650,13650,13645,13645,4489205
2024110700:13:14,13645,13650,13645,13650,18140850
2024110700:13:15,13650,13650,13645,13645,4052565
2024110700:13:16,13650,13650,13645,13650,4449900
2024110700:13:17,13650,13650,13645,13645,14395475
2024110700:13:18,13650,13650,13650,13650,40950
2024110700:13:19,13645,13645,13640,13645,36036445
2024110700:13:20,13640,13645,13640,13640,3696440
2024110700:13:21,13645,13645,13640,13645,63080835
2024110700:13:22,13645,13645,13640,13645,12403305
2024110700:13:23,13645,13645,13640,13640,2905320
2024110700:13:24,13640,13645,13640,13640,231880
2024110700:13:25,13640,13640,13640,13640,1636800
2024110700:13:26,13640,13640,13635,13640,75838400
2024110700:13:27,13635,13640,13635,13635,3313305
2024110700:13:28,13640,13645,13640,13645,24356325
2024110700:13:29,13645,13645,13640,13645,20876850
2024110700:13:30,13640,13645,13640,13645,6617825
2024110700:13:31,13645,13650,13640,13650,113240400
2024110700:13:32,13645,13650,13645,13645,10220105
2024110700:13:33,13645,13645,13640,13640,63016800
2024110700:13:34,13645,13650,13645,13645,10342910
2024110700:13:35,13645,13645,13640,13645,9851690
2024110700:13:36,13645,13645,13640,13645,25406990
2024110700:13:37,13650,13650,13650,13650,126699300
2024110700:13:38,13650,13655,13645,13655,17041440
2024110700:13:39,13650,13650,13645,13645,26498590
2024110700:13:40,13645,13645,13645,13645,37250850
2024110700:13:41,13650,13650,13645,13645,3943405
2024110700:13:42,13650,13650,13645,13650,22181250
2024110700:13:43,13650,13650,13640,13650,361506600
2024110700:13:44,13645,13650,13645,13645,48262365
2024110700:13:45,13650,13650,13645,13645,39597790
2024110700:13:46,13645,13655,13645,13655,48639110
2024110700:13:47,13655,13655,13650,13650,27941550
2024110700:13:48,13650,13650,13645,13650,43338750
2024110700:13:49,13645,13645,13645,13645,16837930
2024110700:13:50,13645,13645,13640,13640,23024320
2024110700:13:51,13645,13650,13640,13650,17635800
