Date,Open,High,Low,End,Amount
2024111200:11:33,1453,1454,1453,1454,193382
2024111200:11:34,1454,1455,1454,1455,1521930
2024111200:11:35,1455,1459,1454,1455,6070260
2024111200:11:36,1459,1459,1454,1454,918928
2024111200:11:37,1454,1458,1454,1458,1223262
2024111200:11:38,1457,1458,1457,1458,504468
2024111200:11:39,1458,1458,1458,1458,736290
2024111200:11:40,1458,1458,1458,1458,414072
2024111200:11:41,1459,1461,1459,1460,724160
2024111200:11:42,1462,1465,1460,1464,1709952
2024111200:11:43,1463,1463,1460,1460,3906960
2024111200:11:45,1463,1467,1463,1467,1785339
2024111200:11:46,1467,1468,1465,1465,4019960
2024111200:11:47,1464,1464,1463,1463,106799
2024111200:11:48,1463,1463,1460,1460,2483460
2024111200:11:50,1460,1463,1460,1463,1828750
2024111200:11:51,1460,1462,1460,1462,641818
2024111200:11:52,1462,1462,1460,1462,228072
2024111200:11:53,1462,1462,1462,1462,68714
2024111200:11:54,1462,1462,1459,1460,6488240
2024111200:11:55,1462,1463,1459,1463,130207
2024111200:11:58,1462,1488,1462,1483,45550345
2024111200:11:59,1483,1535,1475,1535,292426710
2024111200:12:02,1564,1645,1564,1628,964298588
2024111200:12:03,1628,1675,1611,1645,654219790
2024111200:12:04,1645,1668,1620,1624,448537432
2024111200:12:05,1624,1629,1592,1610,464692690
2024111200:12:06,1610,1640,1576,1594,605748692
2024111200:12:07,1594,1594,1568,1580,342826820
2024111200:12:08,1579,1586,1571,1572,100167840
